frame,id,x_m,y_m;Frame;ID;x_m;y_m
36,4,3.56,3.60;34;1;3.82;2.55
36,5,3.82,1.50;34;2;5.27;3.03
36,7,3.68,2.12;34;3;4.20;4.23
36,9,3.40,4.39;34;4;5.24;2.17
36,11,3.00,1.81;34;7;3.20;2.86
36,17,3.41,3.75;34;8;3.26;2.43
36,27,0.50,2.26;34;9;0.32;1.70
36,15,3.39,0.74;34;10;4.70;2.67
36,32,3.24,3.77;34;15;4.17;2.77
36,6,0.67,0.83;35;1;3.82;2.55
37,1,3.56,2.95;35;2;5.27;3.03
37,2,4.28,4.79;35;3;4.20;4.23
37,3,1.08,3.65;35;4;5.24;2.17
37,4,3.56,3.60;35;7;3.20;2.86
37,5,3.82,1.47;35;8;3.26;2.43
37,7,3.68,2.12;35;9;0.32;1.70
37,9,3.40,4.39;35;10;4.70;2.67
37,11,3.00,1.81;35;15;4.17;2.77
37,17,3.41,3.75;36;1;3.82;2.55
37,27,0.60,2.27;36;2;5.27;3.03
37,15,3.39,0.74;36;3;4.20;4.22
37,32,3.25,3.77;36;4;5.24;2.17
37,6,0.67,0.83;36;7;3.20;2.86
38,1,3.56,2.95;36;8;3.26;2.43
38,2,4.28,4.80;36;9;0.32;1.70
38,3,1.07,3.65;36;10;4.70;2.67
38,4,3.56,3.60;36;15;4.17;2.78
38,5,3.82,1.47;37;1;3.82;2.55
38,7,3.68,2.12;37;2;5.28;3.03
38,9,3.40,4.40;37;3;4.20;4.22
38,11,3.00,1.81;37;4;5.24;2.18
38,17,3.41,3.75;37;7;3.20;2.86
38,27,0.65,2.27;37;8;3.26;2.43
38,15,3.39,0.74;37;9;0.33;1.70
38,32,3.24,3.77;37;10;4.69;2.67
38,6,0.68,0.83;37;15;4.17;2.78
39,1,3.56,2.95;38;1;3.82;2.55
39,2,4.28,4.80;38;2;5.28;3.03
39,3,1.07,3.65;38;3;4.19;4.22
39,4,3.57,3.60;38;4;5.24;2.18
39,5,3.82,1.46;38;7;3.20;2.86
39,7,3.68,2.12;38;8;3.26;2.43
39,9,3.40,4.40;38;9;0.33;1.70
39,11,3.00,1.81;38;10;4.70;2.67
39,17,3.42,3.76;38;15;4.17;2.78
39,27,0.70,2.24;39;1;3.82;2.55
39,15,3.39,0.74;39;2;5.28;3.03
39,32,3.24,3.77;39;3;4.19;4.23
39,6,0.68,0.83;39;4;5.24;2.18
39,39,4.77,0.52;39;7;3.19;2.86
40,1,3.57,2.95;39;8;3.26;2.44
40,2,4.29,4.80;39;9;0.32;1.70
40,3,1.07,3.65;39;10;4.69;2.67
40,4,3.57,3.60;39;15;4.17;2.78
40,5,3.82,1.45;40;1;3.82;2.55
40,7,3.67,2.12;40;2;5.28;3.03
40,9,3.40,4.40;40;3;4.19;4.23
40,11,3.00,1.80;40;4;5.24;2.18
40,17,3.43,3.76;40;7;3.20;2.86
40,27,0.75,2.22;40;8;3.26;2.44
40,15,3.39,0.74;40;9;0.33;1.70
40,32,3.24,3.77;40;10;4.69;2.67
40,6,0.68,0.83;40;15;4.18;2.78
40,39,4.76,0.52;41;1;3.82;2.55
40,41,3.24,3.93;41;2;5.27;3.02
40,42,3.62,2.20;41;3;4.19;4.23
41,1,3.57,2.95;41;4;5.24;2.18
41,2,4.29,4.79;41;7;3.20;2.86
41,3,1.07,3.65;41;8;3.26;2.44
41,4,3.57,3.60;41;9;0.33;1.70
41,5,3.82,1.45;41;10;4.69;2.67
41,7,3.67,2.12;41;15;4.18;2.78
41,9,3.40,4.40;42;1;3.82;2.55
41,11,3.00,1.80;42;2;5.27;3.02
41,17,3.43,3.76;42;3;4.19;4.23
41,27,0.79,2.21;42;4;5.24;2.17
41,15,3.39,0.74;42;7;3.20;2.86
41,32,3.24,3.77;42;8;3.26;2.44
41,6,0.68,0.83;42;9;0.33;1.70
41,39,4.77,0.52;42;10;4.69;2.67
41,41,3.24,3.93;42;15;4.18;2.78
41,42,3.61,2.20;43;1;3.82;2.55
41,43,0.12,2.46;43;2;5.27;3.02
42,1,3.58,2.95;43;3;4.19;4.23
42,2,4.29,4.79;43;4;5.24;2.17
42,3,1.07,3.64;43;7;3.20;2.86
42,4,3.58,3.60;43;8;3.26;2.44
42,5,3.82,1.45;43;9;0.33;1.70
42,7,3.67,2.12;43;10;4.69;2.66
42,9,3.40,4.40;43;15;4.18;2.78
42,11,3.00,1.80;44;1;3.82;2.55
42,17,3.44,3.76;44;2;5.27;3.02
42,27,0.84,2.19;44;3;4.19;4.23
42,15,3.39,0.74;44;4;5.24;2.17
42,32,3.24,3.77;44;7;3.20;2.86
42,6,0.68,0.83;44;8;3.26;2.44
42,39,4.77,0.52;44;9;0.33;1.70
42,41,3.24,3.93;44;10;4.69;2.66
42,42,3.61,2.21;44;15;4.18;2.78
42,43,0.14,2.46;45;1;3.82;2.55
43,1,3.58,2.95;45;2;5.27;3.02
43,2,4.29,4.79;45;3;4.19;4.23
43,3,1.06,3.65;45;4;5.24;2.17
43,4,3.59,3.60;45;7;3.20;2.86
43,5,3.82,1.45;45;8;3.26;2.44
43,7,3.67,2.12;45;9;0.33;1.70
43,9,3.40,4.40;45;10;4.69;2.66
43,11,2.99,1.80;45;15;4.18;2.78
43,27,0.88,2.17;45;12;2.58;2.74
43,15,3.39,0.74;46;1;3.82;2.55
